,iteration,light_height,light_width,inter_0,inter_1,inter_2,inter_3,metric
0,1,10.0,10.0,17.83154780124477,4.493018373279571,12.0,24.0,0.2519701835959482
1,1,10.5,10.0,16.738700132639526,4.32004285066449,11.0,22.0,0.2580871164685392
2,1,10.0,10.5,17.42220181614121,4.410163115893289,12.0,23.0,0.25313465900776033
3,1,9.5,10.5,18.57177838996021,4.552449767777816,13.0,25.0,0.24512729326120125
4,1,9.0,10.75,19.59789817365575,4.7321514657051935,14.0,26.0,0.2414621927195404
5,2,9.0,10.25,20.16732986429956,4.8752792769247915,14.0,27.0,0.24174143576413984
6,3,8.0,11.0,22.19304152637486,5.104586859145492,16.0,29.0,0.23000843994632514
7,3,7.0,11.5,24.699724517906336,5.464686506847436,18.0,32.0,0.22124483626875077
8,4,7.0,12.0,23.739822467095195,5.179548868983122,17.0,31.0,0.21817976424054075
9,4,6.0,12.875,25.506887052341597,5.419055747994681,19.0,33.0,0.21245461027347112
10,5,4.0,13.625,30.57177838996021,5.762852038377288,23.0,38.0,0.1885023489595166
11,5,1.5,15.0,33.866442199775534,18.855753827053448,17.0,63.0,0.5567680748932766
12,6,3.0,15.0,29.575553514947455,6.112841416465586,22.0,38.0,0.2066856132845041
13,7,1.0,15.0,35.5941230486685,36.523466677602556,12.0,81.0,1.0261094683429437
14,7,4.75,13.59375,27.982348739924497,5.541598135936507,21.0,35.0,0.1980390633910547
15,8,5.75,12.21875,27.807570656055503,5.632769918533806,21.0,35.0,0.20256245999350497
16,8,5.0625,12.9140625,28.62258953168044,5.6588826304321085,21.0,36.0,0.19770687149632873
17,9,4.3125,12.9453125,31.433425160697887,5.946851721297412,24.0,39.0,0.18918879157760163
18,10,3.25,13.65625,33.19855116824814,6.089121631843284,26.0,41.0,0.18341528222072115
19,10,2.34375,14.02734375,34.9880624426079,8.341487307400216,25.0,46.0,0.23840952385068592
20,11,2.9375,14.3359375,31.970309152127335,6.3441127473182215,24.0,40.0,0.19843764153578972
21,11,3.96875,13.29296875,31.597388021630447,5.872634611067682,24.0,39.0,0.18585823002355403
22,12,3.21875,13.32421875,34.59953066013672,6.3380691928908215,27.0,43.0,0.1831836753841613
23,12,2.828125,13.173828125,36.57555351494745,6.769397509436823,28.0,45.0,0.18507983773014813
24,13,2.5,13.6875,35.81991633506785,7.67161677494235,27.0,46.0,0.21417182282561067
25,13,3.6015625,13.3916015625,32.768697071727374,6.008637766546679,25.0,41.0,0.18336517174895225
26,14,3.5703125,13.0595703125,34.02265074992348,6.187765109525395,26.0,42.0,0.1818719286456336
