,height,width,pattern,mean,std
0,0.5,5.0,circle,44.31466176920723,38.63096620727549
1,3.3,5.0,circle,26.475257626772777,85.19756246693943
2,6.6,5.0,circle,13.817773696561575,94.94298859676775
3,10.0,5.0,circle,7.763085399449036,97.02711151537804
4,0.5,10.0,circle,38.62922150800939,66.59530046961589
5,3.3,10.0,circle,21.111519232731354,93.43714815555991
6,6.6,10.0,circle,11.630547903275176,96.134238863015
7,10.0,10.0,circle,6.951331496786042,97.26179174962851
8,0.5,15.0,circle,19.80246913580247,73.64168639930553
9,3.3,15.0,circle,14.043975104581165,96.06705984842297
10,6.6,15.0,circle,8.96388123660851,96.92568636242406
11,10.0,15.0,circle,5.791347821650852,97.58249449777081
12,0.5,20.0,circle,12.882460973370064,76.05132389165858
13,3.3,20.0,circle,9.32139577594123,96.84205519735187
14,6.6,20.0,circle,6.672584430160188,97.39131125714769
15,10.0,20.0,circle,4.721456994184267,97.80346393239992
16,0.5,5.0,ogrid,44.15100499948985,48.630373388843374
17,3.3,5.0,ogrid,25.659728599122538,87.33157667329752
18,6.6,5.0,ogrid,13.377920620344863,95.2236406100716
19,10.0,5.0,ogrid,7.595959595959596,97.08072070313567
20,0.5,10.0,ogrid,30.424446485052545,68.37193191791091
21,3.3,10.0,ogrid,18.137332925211712,95.10465459020277
22,6.6,10.0,ogrid,10.493317008468523,96.56176969410582
23,10.0,10.0,ogrid,6.471788593000714,97.38822079262133
24,0.5,15.0,ogrid,14.324660748903174,76.10108069398945
25,3.3,15.0,ogrid,10.841138659320478,96.65417624986935
26,6.6,15.0,ogrid,7.453321089684726,97.23319164257096
27,10.0,15.0,ogrid,5.132435465768799,97.75916657653124
28,0.5,20.0,ogrid,7.9938781756963575,80.93543682929072
29,3.3,20.0,ogrid,6.761963064993368,97.32978389285928
30,6.6,20.0,ogrid,5.22620140801959,97.69463366131158
31,10.0,20.0,ogrid,3.906029996939088,97.99438463984782
32,0.5,5.0,grid,44.10223446587083,51.04441943361829
33,3.3,5.0,grid,25.55178043056831,87.67504577590626
34,6.6,5.0,grid,13.3601673298643,95.27870306342118
35,10.0,5.0,grid,7.594531170288746,97.09500381348587
36,0.5,10.0,grid,28.353535353535353,70.80398127419062
37,3.3,10.0,grid,17.643097643097644,95.33425655689193
38,6.6,10.0,grid,10.289460259157229,96.54788021180983
39,10.0,10.0,grid,6.356902356902357,97.40961657811516
40,0.5,15.0,grid,15.391694725028058,75.48391147705838
41,3.3,15.0,grid,10.254463830221406,96.80100249085646
42,6.6,15.0,grid,7.173349658198143,97.2816742541038
43,10.0,15.0,grid,4.978675645342312,97.77382025466665
44,0.5,20.0,grid,7.3994490358126725,82.2403181026727
45,3.3,20.0,grid,6.319253137434956,97.4453417766369
46,6.6,20.0,grid,4.961942658912356,97.74829465001703
47,10.0,20.0,grid,3.811651872257933,98.04926743224978
48,0.5,5.0,spiral,44.4183246607489,26.808565320197474
49,3.3,5.0,spiral,26.752576267727783,83.95710589306537
50,6.6,5.0,spiral,13.948882767064585,94.8237335520671
51,10.0,5.0,spiral,7.852566064687277,97.01187675644582
52,0.5,10.0,spiral,41.61391694725028,63.29392014238985
53,3.3,10.0,spiral,22.5416794204673,92.01137667440919
54,6.6,10.0,spiral,12.217834914804612,95.91896787222583
55,10.0,10.0,spiral,7.130598918477706,97.21338717470601
56,0.5,15.0,spiral,24.901336598306294,69.59083973358663
57,3.3,15.0,spiral,16.3687378838894,95.43220550092059
58,6.6,15.0,spiral,9.900418324660748,96.69641668539354
59,10.0,15.0,spiral,6.1980410162228345,97.45341129989541
60,0.5,20.0,spiral,16.785940210182634,73.77588895971545
61,3.3,20.0,spiral,11.539230690745843,96.26730888761796
62,6.6,20.0,spiral,7.725232119171513,97.2011442479549
63,10.0,20.0,spiral,5.223038465462708,97.69678279345824
